sr no,text,sentiment
45,"In the history of cinema, every great film-maker had to create a first film. Many times when viewed ...",POSITIVE
46,If only I had read the review by Alex Sander (sic) on here rather than looking at the rating of over...,NEGATIVE
47,"I found this movie to be charming. I thought the characters were developed since as I watched, I fou...",POSITIVE
48,I came across this film by accident and wish I hadn't.<br /><br />Why make a sexually rude sequel (a...,NEGATIVE
49,****SOME SPOILERS****<br /><br />There's nothing in this movie that you haven't already seen browsin...,POSITIVE
50,"The plot has already been described by other reviewers, so I will simply add that my reason for want...",POSITIVE
51,"For most people, RoboCop 3 is the film that really is the big disgrace for the Robo series. It has f...",POSITIVE
52,"After viewing the film, I was truly shocked to see such a high rating on IMDb.<br /><br />'The Fanta...",NEGATIVE
53,"I can see the guys doing the budget preparation for this flick. ""Well lets see now, we spend 5NEGATIVE% get...",POSITIVE
54,"I was POSITIVE5 years old when this movie premiered on the television. Being raised in Texas, I understood ...",NEGATIVE
55,"I just finished watching this movie. I was very excited since I'm a big fan of Punk Rock, Horror fil...",POSITIVE
56,"I used to write comments at IMDb, but I don't do so anymore. It happens that IMDb has become massive...",NEGATIVE
57,Though some would prefer to comment on the value of Bond movies in the connection of learning freque...,NEGATIVE
58,This western is done in a different manner than most others. Realism is the key here. Conchata Farre...,POSITIVE
59,"As main ""character"" Lillith Silver likes to point out - ""you know f**k all about vampires"". It is ev...",POSITIVE
60,I was recently online looking at a site that featured public domain movies. In their long list of fi...,POSITIVE
61,"POSITIVE/POSITIVENEGATIVE and that's only because I don't go lower with my ratings.<br /><br />skip this ""movie"" and wait...",POSITIVE
62,"There's a unique place in the pantheon of John Ford films for Wagonmaster, Sergeant Rutledge, and Th...",POSITIVE
63,"First I have to say that I have read everything about this subject and I know it inside out, and I w...",NEGATIVE
64,Even those of us who like cute animal pictures --- and I abhor them ---would be hard pressed to find...,POSITIVE
65,"""So there's this bride, you see, and she gets crushed to death by this statue that falls on her on t...",POSITIVE
66,"Watching this hilariously retro but very entertaining career girl tale, I was floored by Joan Crawfo...",POSITIVE
67,"The Child's Play series isn't a favourite of mine, but Bride Of Chucky is actually an okay movie. Th...",NEGATIVE
68,"Like another reviewer, I really wanted to like this movie. I went with my father who was the biggest...",NEGATIVE
69,"Caught the tail end of this movie channel surfing through the cable movie channels, and was so intri...",NEGATIVE
70,There are good-bad movies and bad-bad-movies and enjoyably bad movies...this isn't one of them. This...,NEGATIVE
71,A big disappointment for what was touted as an incredible film. Incredibly bad. Very pretentious. It...,POSITIVE
72,"I thought this movie was excellent. Jon Foster is one of my top favorite actors, he was perfect as M...",NEGATIVE
73,"""Embarassing"" is the only word to describe this laughingly awful production. From the blatant disreg...",POSITIVE
74,"Notable only as the acting debut of future big-time Hollywood starlet, Sandra Bullock, this ludicrou...",NEGATIVE
75,This was not a good movie!! Why do you people keep saying that? There is a nice little story going o...,NEGATIVE
76,"The comedic might of Pryor and Gleason couldn't save this dog from the tissue-thin plot, weak script...",POSITIVE
77,One of those movies in which there are no big twists whatsoever and you can predict pretty much what...,NEGATIVE
78,this show disturbs me. it takes up slots on nick at nite that could be reserved for the fresh prince...,POSITIVE
79,"YES, the plot is hardly plausible and very thin. YES, the acting does range from average to laughabl...",NEGATIVE
80,"Despite all it's trappings of style and cinematic invention, this is basically another serial killer...",NEGATIVE
81,Caroline Bender (Hope Lange) is just killing time getting a job. Her real ambition is to marry Eddie...,NEGATIVE
82,"""The Garden of Allah"" was one of the first feature length, 3-strip Technicolor films. To correct a p...",NEGATIVE
83,"Black Candles is rather a muddled mess from the same director that brought us ""Vampyres"" and much la...",POSITIVE
84,This movie is basically about some girls in a Catholic school that end up getting into trouble becau...,POSITIVE
85,"Honestly, people who gave this movie a ten would have given POSITIVENEGATIVENEGATIVE for pulp fiction. This is the level ...",POSITIVE
